"PIN","Gender","Age","Height","Weight","Education","Marital","Employment","Income"
"00001_e1b1","Male",23,180,81,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00002_e1b1","Male",46,180.34,72.57472,"Secondary","Never married","Unemployed","< $15,000"
"00003_e1b1","Male",29,156,50,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00004_e1b1","Male",30,172.72,61.688512,"Masters or above","Married","Employed (full-time)","> $75,000"
"00005_e1b1","Male",28,175.26,81.64656,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00006_e1b1","Male",37,182.88,88.45044,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00007_e1b1","Male",43,172.72,95.25432,"Secondary","Married","Employed (full-time)","> $75,000"
"00008_e1b1","Male",30,187.96,65,"Bachelor","Married","Employed (part-time)","$25,000 - $74,999"
"00009_e1b1","Male",41,195.58,85,"Bachelor","Married","Employed (full-time)","> $75,000"
"00012_e1b1","Male",32,167.64,70,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00013_e1b1","Male",45,165,65,"Masters or above","Married","Employed (full-time)","> $75,000"
"00014_e1b1","Male",25,179,68,"Masters or above","Never married","Employed (full-time)","< $15,000"
"00015_e1b1","Male",30,185,88,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00017_e1b1","Male",28,173,82,"Bachelor","Separated","Employed (full-time)","$15,000 - $24,999"
"00018_e1b1","Male",49,165.1,65,"Bachelor","Married","Self-employed","$25,000 - $74,999"
"00019_e1b1","Male",30,177.8,71,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00020_e1b1","Male",26,187,85,"Bachelor","Never married","Student","$15,000 - $24,999"
"00021_e1b1","Male",35,152.4,63.50288,"Bachelor","Married","Employed (full-time)","$25,000 - $74,999"
"00022_e1b1","Female",40,165.1,55,"Bachelor","Married","Employed (part-time)","$25,000 - $74,999"
"00023_e1b1","Male",32,168,78,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00024_e1b1","Male",30,167.64,70,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
